#gene	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Ma1	Ma2	Ma3	Ma4	Ma5	Ma6	Ma7	Ma8	Ma9	Ma10	Ma11	Ma12	Ma13	Ma14	Ma15	Ma16	Ma17	Ma18	Ma19	Ma20	Ma21	Ma22
SHISA5(ENSG00000164054.15)(protein_coding)	84.74	88.35	102.47	107.42	73.19	82.08	61.66	102.41	52.96	74.47	66.73	57.78	78.1	164.75	110.13	69.63	98.19	88.66	58.34	98.28	154.22	93.06	93.87	61.18	129.74	71.13	43.22	89.22	74.79	71.44	211.65	60.28	41.01	65.87	76.22
MIR3179-3(ENSG00000257527.1)(lincRNA)	0.39	0	1.11	0	0.33	0	1.51	0	0	1.33	0.92	0.64	0	0.64	0.24	0.5	0.67	2.64	0.06	1.14	0.56	0.26	0	0.31	0.24	0	0.13	0.51	0	0.45	0.24	0.02	0.3	0.26	0
TXNL4B(ENSG00000140830.8)(protein_coding)	6.03	5.85	5.84	6.44	5.9	8.07	6.22	4.86	9.38	10.14	7.58	7.68	6.34	11.16	4.41	5.37	6.22	5.69	9.8	2.98	6.15	4.39	10.55	3.85	6.63	2.81	5.34	5.87	8.46	3.6	7.73	6.6	5.15	4.76	5.45
APOM(ENSG00000204444.10)(protein_coding)	5.68	4.15	2.8	5.64	4.18	3.9	4.55	6.46	4.36	4.34	5.64	3.21	7.55	4.21	1.09	3.2	4.42	2.2	2.34	1.26	2.49	1.09	0.7	0.84	1.83	3.08	1.45	2.4	0.21	2.97	1.75	3.01	0.84	2.02	0.59
SEC22B(ENSG00000265808.3)(protein_coding)	15.68	11.23	13.01	13.6	16.91	11.57	23.49	13.16	17.59	18.61	13.79	21.27	11.39	13.35	20.4	21.48	37.37	9.68	22.52	25.12	19.35	9.6	11.34	20.48	35.83	20.88	26.8	18.33	15.04	15.08	22.56	27.66	38.45	20.89	24.89
CCNYL1(ENSG00000163249.9)(protein_coding)	4.37	2.96	4.26	4.46	3.15	3.84	7.36	3.82	3.91	3.22	3.14	5.38	5.3	2.33	3.52	4.42	5.96	3.97	16.11	6.72	4.72	4.93	3.09	10.68	12.21	4.36	4.73	5.09	5.03	9.19	15.14	6.33	7.03	5.26	5.26
RP11-307L14.1(ENSG00000272370.1)(lincRNA)	1.77	0	0	0	0.4	1.23	0.52	0	0.38	0	0.07	0.2	0	0	1.27	0.45	0.99	0	0.52	0.15	0.88	0.46	0	0.38	0.91	0.7	0.84	0.45	0.34	1.09	0.1	0.76	0.5	0.4	0.37
ZNF138(ENSG00000197008.9)(protein_coding)	6.14	3.06	6.99	2.66	9.05	4.87	12.93	5.65	12.45	10.46	9.75	9.84	6.18	4.27	10.34	10.65	17.39	4.71	33.68	5.61	9.85	2.33	3.32	7.58	11.52	7.87	3.55	7.07	15.82	8.91	3.84	15.52	7.62	12.27	11.73
CAPS2(ENSG00000180881.19)(protein_coding)	3.16	6.5	1.76	6.35	6.15	4.5	6.13	6.39	6.51	5.84	7.45	8.87	10.02	9.59	3.05	3.45	3.94	6.7	1.52	1.55	3.96	2.67	0.21	3.27	1.95	4.23	3.93	2.43	1.7	2.48	0.55	4.86	4.11	2.85	0.41
SENP2(ENSG00000163904.12)(protein_coding)	19.41	28.49	20.28	24.54	15.17	20.96	22.35	12.21	19.94	22.68	14.73	16.76	22.12	51.53	22.42	37.91	34.88	6.37	146.92	25.58	28.03	7.67	18.57	31.8	14.86	16.92	30.6	18.69	23.5	15.43	13.39	16.34	51.35	23.85	27.72
